StandID,Year,Species,Ags Ugs,DBH,TPA,Total Plots
B9,2021,371,AGS,9.1,705.9459456,15
B9,2021,261,AGS,17.6,188.7247668,15
B9,2021,97,AGS,49.7,23.66690434,15
B9,2021,97,AGS,42.9,31.76432629,15
B9,2021,97,AGS,33.3,52.71883032,15
B9,2021,261,AGS,8.5,809.1264187,15
B9,2021,97,AGS,41.3,34.27315852,15
B9,2021,97,AGS,28.7,70.97255491,15
B9,2021,261,AGS,59.5,16.51278406,15
B9,2021,316,AGS,25,93.53501401,15
B9,2021,316,UGS,22.6,114.4556812,15
B9,2021,97,UGS,39.8,36.90524466,15
B9,2021,261,AGS,34.5,49.11521424,15
B9,2021,261,AGS,18.6,168.9772915,15
B9,2021,97,AGS,52.8,20.96941853,15
B9,2021,316,UGS,31.9,57.44772924,15
B9,2021,97,AGS,44.3,29.78837281,15
B9,2021,97,AGS,36.3,44.36505077,15
B9,2021,261,AGS,26.6,82.62109751,15
B9,2021,261,AGS,32.4,55.68833234,15
B9,2021,261,AGS,40.4,35.81718934,15
B9,2021,261,AGS,48.5,24.85253853,15
B9,2021,531,UGS,23,110.509232,15
B9,2021,261,AGS,34.5,49.11521424,15
B9,2021,261,AGS,48.6,24.75036993,15
B9,2021,97,AGS,28.3,72.99302495,15
B9,2021,261,AGS,27.6,76.74252226,15
B9,2021,261,AGS,17.7,186.5983075,15
B9,2021,261,AGS,40.5,35.6405327,15
B9,2021,261,AGS,36.5,43.88019047,15
B9,2021,531,UGS,11.8,419.8461919,15
B9,2021,371,AGS,18.4,172.6706751,15
B9,2021,261,AGS,22.6,114.4556812,15
B9,2021,316,AGS,21.1,131.3074364,15
B9,2021,316,AGS,23.5,105.8567383,15
B9,2021,261,AGS,5.7,1799.303901,15
B9,2021,316,AGS,38.6,39.23553904,15
B9,2021,261,AGS,49.9,23.47756987,15
B9,2021,261,AGS,47.5,25.90997618,15
B9,2021,261,AGS,46.2,27.38862828,15
B9,2021,261,AGS,29.6,66.72226962,15
B9,2021,261,AGS,34.7,48.55067624,15
B9,2021,261,AGS,57.1,17.9300713,15
B9,2021,261,AGS,19.2,158.5812276,15
B9,2021,316,UGS,38.1,40.27210046,15
B9,2021,316,UGS,41.1,34.60752882,15
B9,2021,261,AGS,26,86.47837833,15
B9,2021,261,UGS,49.8,23.57195197,15
B9,2021,531,UGS,33.6,51.78162535,15
B9,2021,261,AGS,33,53.68171144,15
B9,2021,261,AGS,56.8,18.11997364,15
B9,2021,97,AGS,18.2,176.4864864,15
B9,2021,316,AGS,34.1,50.27423548,15
B9,2021,375,AGS,20.3,141.8607191,15
B9,2021,261,AGS,58.9,16.85092103,15
B9,2021,261,AGS,48.4,24.95534106,15
B9,2021,261,AGS,21.8,123.0102343,15
B9,2021,261,AGS,67.1,12.9840205,15
B9,2021,261,AGS,64.9,13.87921295,15
B9,2021,261,AGS,35.5,46.38713252,15
B9,2021,261,AGS,36.4,44.1216216,15
B9,2021,371,AGS,37.8,40.91387682,15
B9,2021,261,AGS,35.9,45.35919472,15
